Sentimento,Texto
1,Que coisa linda! O Programa #encontro estava mostrando uma familia que adotou um adolescente de 18 anos. Que amor!!!
1,"Por mais #Encontro com as Irmãs Galvão, adorei elas."
1,Mr. CATRA @OficialMrCatra lançando sua nova música PPK CHORA no @SBTTheNoite k k k👅😉
0,quem viu aquela lutadora modela barbuda tatuada? #MasterChefBR
-1,Tô passada com esse cara.... quanta merda pode sair da boca de alguém em alguns minutos! 😠 #Encontro
1,"Cibele arrasou, humilhou!! #VideoShowAoVivo"
0,Em Minas sacolé é chup chup!  #videoshowaovivo
0,"Meu prato MasterChef de sardinha enlatada seria jogar ela no prato, cozinhar arroz e ainda colocar batata palha junto #MasterChefBR"
-1,"Esse japa não entendi porra nenhuma de orquídeas. Essa não é catleya Walkiriana, é uma Nobilior #encontro"
1,A Cearamirinense mais famosa do Brasil no #Edecasa @_robertasa ♥ Linda
1,"nào sei vocês, mas quero @marcos_harter no #powercoupleBrasil com a @emillyaraujoof e num reality tipo Dr Rey. Até no #MasterChefBR tá bom"
1,Tem q passar essa entrevista em telões nas praças
1,Estou todo derretido com o amor do Serginho e Thomas no #AltasHoras
0,Fatima Bernardes sobre o sotaque hahaha coerência profissional #VideoShowAoVivo
1,Augusto Cury no #ConversaComBial IMPERDÍVEL!!!
1,#VideoShowAoVivo Sophia super sensual com essa roupa!!!!!!!!
1,Caraaaaaa não dormi ainda por causa desse cara: Padre Fábio de Melo ❤️ quanta sabedoria!!! #conversacombial
1,A MIRIAM E O FOGO DO PROGRAMA ELA E PROTAGONISTA #MasterChefBR
1,"Depois eu vou assistir, espero que ela cante a nova música!"
0,Eu aqui queimando o arroz e o pessoal do #MasterChefBR colocando 375 temperos kkkkkk
1,ai mds é agora #MasterChefBR
-1,Aí vc fica até 01h00 assistindo #MasterChefBR e acorda cedo pra ir trabalhar parecendo um zumbi
0,#VideoShowAoVivo Esse vestido de casamento da Cibele deu o que falar kkkkkkkkkk
1,fico assistindo #MasterChefBR  dá muuuita vontade de comer rs
-1,Imagina que insuportável ter de dar de comer pra uma gente que calcula CADA CALORIA que come? Jesus... #MasterChefBR
1,#MasterChefBR Começaaaaaaaaaaaaaaaaaaaaa a hora de procurar algo na geladeira pra comer e acompanhar este show na TV !!!! 😆
0,Ana Luiza vai ser eliminada do Masterchef pois foi descoberto que ela já trabalhou como cozinheira profissional #MasterChefBR
0,Olá @AnaMariaBraga gostaria da participação do Fiuk em algum quadro no @MaisVoce_Globo #MaisVoce. Obrigada!
1,"Vivendo e aprendendo, enfrentar os medos e procurar ajuda é sempre a melhor maneira. #ConversaComBial"
0,Essa modinha do unicórnio vem lá da China né?  #MaisVoce
-1,o prato do Vitor B ficou ruim MEU DEUS TO PASSANDO MAL NAAAAOOO #MasterChefBR
1,VANESSA DA MATA MELHOR PESSOA! #AltasHoras
-1,#MasterChefBR FIQUEI MUITO NERVOSA ACHEI Q MINHA YUKO IA SAIR
1,Irmãs Galvão amores de pessoas. #Encontro
-1,"João Vicente no Encontro hoje, e eu vou estar aonde? No colégio, fazendo prova de matemática, isso mesmo. #Encontro"
1,#VideoShowAoVivo esse programa é demais com esses dois ao vivo... vocês podiam mostrar os bastidores DO VIDEO SHOW NÉ.. #CURIOSO KKK
-1,"Tantos embustes pra sair do #MasterChefBR, e tiram justamente o #MasterCrush. Pfvr, alguém repesca o @MChefVitorB."
1,Adoro a voz do Pr. Fabio de Melo 😍#ConversaComBial
1,@masterchefbr #MasterChefBR começou! Junto com o jogo da liberta e gsw x spurs. Que terça.
1,Eles roubam a cena na novela! Muito bom!  #MaisVoce
0,Tchau Victor B. É obvio que vc vai sair. #MasterChefBR
-1,"#MaisVoce está aqui ensinando a passar roupas e os comentários da apresentadora são 'para fazer no terno do marido', 'na camisa do namorado'"
1,"Déborah, a bixa é lacradora mesmo ."
1,"É o tipo de assunto sério que a nossa mídia esquerdista tem medo de falar, ou fala besteira. Parabéns #TheNoite"
0,Eu gostaria de ter um #Encontro hj
1,Hoje tem🍝🍜🍛🥗🍲    😰😨😀 #MasterChefBR
1,eu também prefeito gente mais velha #encontro kkkkkkkkkk
1,#TheNoite Excelente a participação do @benebarbosa_mvb!!! @DaniloGentili muito bom falar sobre o assunto Armas de Fogo.
0,O cara do System of a Down agora toca violino? Kkkkkkkkkkk
-1,Gente o cabelo e a maquiagem da Ana Maria Braga estão indo para  alguma festa que o resto do corpo não forão convidados 😂😂😂
-1,#MasterChefBR
0,Ja que é pra tombar....tombei
1,A maior e melhor cantora que você respeita @SandyLeah no @EncontroFatima. #SandyLeah #Encontro
1,"Com esse rei arthur, brincaria de princesa 24hrs sem reclamar, meuuuu deus #theNoite"
-1,"Qualquer um que saísse no time vermelho eu ficava sussa, mas do time azul, tô bad! #MasterChefBR"
-1,Aí azul não me arrasa não #MasterChefBr
1,Vem que já começou o #VídeoShowAoVivo !!
1,#Encontro  gente suspirando com esse João Vicente.😍😍
-1,"Yuki parece eu na educação física, a ultima a ser escolhida kkkkk #MasterChefBR"
-1,#Encontro Pensei que estávamos no século XXI 
0,#MasterChefBR Acho que hj não tem a maldição do time azul!!
0,"Semorou, mas o Silvio conseguiu casar a Patricia rs #DomingoLegal"
1,Vem que vem @MaiaraeMaraisa tô aqui esperando ver vcs no #ConversaComBial mesmo sendo gravado
0,O Xande de Pilares tinha q começar ou encerrar o #Encontro com Malandro é Malandro e Mané é Mané
-1,"Quando fala que ""a coisa tá preta"" é em referência as trevas e escuridão. Aí tem gente que vem com essa de racismo. #Encontro"
-1,Que música sem graça essa da Vanessa da Mata! #altashoras
1,TÔ MORTO COM A BELA GIL NO CLIPE DO E O TCHAN! HAHAHAHAHA #AltasHoras
-1,"#MasterChefBR torta crua, não pode!"
0,"Das últimas três novelas das 21h, duas com Caetano abrindo. Velho Chico / ""Tropicália""; A Força do Querer / ""O Quereres"" #VideoShowAoVivo"
-1,Será que a Fátima não fica triste por ter tirado a Tv Globinho não ? #VideoShowAoVivo
-1,"#MasterChefBR Douglas filho da mãe, deveria pelo menos ter tido a capacidade de tirar a Miriam... Fala sério!!!"
1,É impressionante como eu sempre aprendo algo novo quando assisto uma entrevista do Drauzio Varella. Que homem!
-1,O @DaniloGentili não vai ter problema em fazer filme de terror depois de hj 😂😂😂😂😂😂😂😂😂😂😂 #TheNoite
1,#VideoShowAoVivo. Gente esse Cibele é linda ... E que ensaio em linda?! parabéns 👏
0,Date é um upgrade do Crush #MasterChefBR
1,Todos deviam ver esse vídeo do Nabby Clifford.  #Encontro
1,"Catra cantando Rock, quer momento mais icônico que esse #TheNoite"
-1,Pq o programa não ta ao vivo? @ANAMARIABRAGA 
0,Consolidados - GLOBO (15/05):
-1,"Só isso de Vivianne Pasmanter Ana Maria? A vai tomar no cu, não sabe aproveitar o artista quando vai."
-1,"Eu não tenho estruturas pra conversas de adoção, tô chorando horrores #encontro"
0,Pessoas da novela Carinha de Anjo #DomingoLegal
0,#MasterChefBr 
0,Era a Bela Gil no clipe do Tchan?? #AltasHoras hahaha
1,Esse carinha é engraçado #MasterChefBR
-1,#videoshowaovivo A Manu e a Joice são as duas vacas da ficção!!!! Insuportáveis!!!! 👎👎👎👎👎👎
1,Bela Gil no clipe Dança do Ventre do É o Tchan. Conseguiu realizar o sonho de todas crianças soteropolitanas dos anos 90 #AltasHoras
-1,Ai que agonia! #MasterChefBR
